nr,site,timestamp,method,schweregrad,vermutete_ursache,handlungsempfehlung_1,handlungsempfehlung_2,handlungsempfehlung_3,confidence,llm_model,processing_time_s
1,Baumarkt_03,2024-05-08 02:00:00+02:00,cluster_segment,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, obwohl es sich um einen Geschäftsstandort handelt.","Überprüfen und kalibrieren der Regelung des HVAC-Systems, um sicherzustellen, dass die Nachtabsenkung korrekt funktioniert.",Prüfung der Sensorik und Automatisierungssysteme zur Überwachung der Anomalie.,Erstellen eines Wartungsplans für regelmäßige Prüfungen der Regelung und Absenkungsfunktionen.,0.85,qwen2.5:7b,18.28
2,Baumarkt_06,2023-01-13 07:30:00+01:00,arima,hoch,"Heizung/Lüftung läuft trotz geringen Temperatureins und niedriger Kundendichte noch durch, vermutlich unoptimale Regelung oder Defekt.",Überprüfen der HVAC-Regelung auf korrekte Temperatur- und Lastsensoren,"Prüfung der Lüftungsanlage auf unnötige Betriebszeiten, insbesondere bei Regenbedingungen",Planen einer Wartung für die kommende Woche mit dem Anbieter,0.85,qwen2.5:7b,6.1
3,Baumarkt_06,2023-01-13 08:00:00+01:00,arima,niedrig,Niedriges Kundenaufkommen am Freitagmorgen aufgrund des nahen Wochenendes und schlechten Wetters,"Kundenzahlen im frühen Feierabend des vergangenen Donnerstags beobachten, um mögliche Auswirkungen zu bestimmen","Beleuchtung in weniger frequentiertem Bereich abschalten, wenn möglich",Wetterbedingungen am Freitagmorgen prüfen und entsprechende Anpassungen an die Beleuchtungsplanung vornehmen,0.75,qwen2.5:7b,6.23
4,Baumarkt_06,2023-06-30 08:00:00+02:00,arima,mittel,"Beleuchtung der Verkaufsfläche läuft zu lange, da die Filiale bereits geöffnet ist und das Kundenaufkommen noch geringer als erwartet ist.",Kontrolle der Beleuchtungszeitprogramme um 08:00 Uhr an diesem Tag,"Überprüfung des Kundenströms um diese Uhrzeit, um eine mögliche Veränderung im Kundenaufkommen zu identifizieren","Optimierung der Beleuchtungsplanung für spätere Tage, falls keine Veränderungen in der Kundenstruktur festgestellt werden",0.8,qwen2.5:7b,6.67
5,Baumarkt_06,2023-10-02 13:00:00+02:00,cluster_segment,mittel,"Beleuchtung der Verkaufsfläche läuft möglicherweise länger als nötig, da Montagmorgen noch nicht vollständig beendet ist.","Überprüfen und optimieren der Beleuchtungszeitprogramme, um sie auf die tatsächlichen Öffnungszeiten abzustimmen","Prüfen, ob HVAC-Systeme unnötig laufen, da das Wetter angenehm ist (19.1 °C)","Kontrollieren der Kühlanlagen im Gartencenter und Getränkebereich, ob sie nicht übermäßig laufen",0.8,qwen2.5:7b,6.75
6,Baumarkt_06,2024-01-26 07:30:00+01:00,arima,hoch,"Erwarming der Verkaufsfläche und Lüftung trotz geringer Wetterbedingungen (7.4 °C, Regen), da die Anomalie am Freitag vorkommt.",Überprüfen der Erwärmungs- und Lüftungssysteme auf unnötige Betriebszeiten,"Optimierung des Zeitprogramms, um den Energieverbrauch bei geringem Wetter zu reduzieren","Wartungstermin vereinbaren, um eventuelle Defekte im System zu prüfen",0.85,qwen2.5:7b,6.6
7,Baumarkt_06,2024-03-22 07:30:00+01:00,arima,hoch,"Heizung läuft trotz milder Witterung und Feiertagsstatus, vermutlich due zu hohem Raumtemperaturen oder defekter Regelung.",Überprüfen der Heizungs-Regelung auf korrekte Einstellungen und Defekte,Prüfung des Raumtemperatur-Sensors an den relevanten Standorten,"Erhöhung der Nachtabsenkung um 1-2 Grad, falls aktuell unter 5 Grad",0.8,qwen2.5:7b,5.87
8,Baumarkt_06,2024-07-26 08:00:00+02:00,arima,niedrig,"Kühlanlagen im Gartencenter und Getränkebereich laufen möglicherweise länger als nötig, da die aktuelle Temperatur (17.1 °C) nicht den Betriebsbedarf erfordert.",Prüfen der Regelung der Kühlanlagen im Gartencenter und Getränkebereich auf optimale Einstellungen,"Überprüfung der Temperatursensoren, um sicherzustellen, dass sie korrekt funktionieren","Kontrolle der Beleuchtungsprogramme, ob diese nicht unnötig lange aktiv sind",0.8,qwen2.5:7b,6.8
9,Baumarkt_06,2024-08-02 08:30:00+02:00,arima,niedrig,Geringerer Verkaufs- und Kundenaufkommen am Freitagmorgen trotz normaler Wetterbedingungen,"Kundenzahlen des aktuellen Tages gegen vergleichbare Tage beobachten, um Trends zu erkennen","Beleuchtungsstatus der Verkaufsfläche überprüfen und eventuell reduzieren, wenn nötig","Lüftungssysteme anpassen, um Energie zu sparen ohne den Kundenkomfort zu beeinträchtigen",0.8,qwen2.5:7b,5.94
10,Baumarkt_06,2024-10-02 07:45:00+02:00,zscore_stl,hoch,"Ungeplante Aufwärmer-aktivierung in der Frühaufstunde, möglicherweise durch fehlendes oder unzureichendes Zeitprogramm.","Überprüfen und optimieren des Zeitprogramms für die HVAC-Systeme, um sicherzustellen, dass sie nur während der Öffnungszeiten aktiv sind.","Prüfung und eventuelle Wartung der Sensorik und Regelungssysteme, um Fehlfunktionen auszuschließen.","Erhöhung der Nachtabsenkung für HVAC-Systeme, um unnötige Energieverbrauch zu reduzieren.",0.85,qwen2.5:7b,7.08
11,Baumarkt_06,2024-10-02 08:00:00+02:00,arima,mittel,"Beleuchtung der Verkaufsfläche läuft möglicherweise länger als nötig, da es bereits hell ist und keine erhöhte Kundenzahl zu erwartende ist.","Überprüfen Sie die Zeitprogramme der Beleuchtungsanlagen, um unnötige Einschaltzeiten zu reduzieren.","Prüfen Sie den Luminenzzustand und eventuell optimieren Sie die Leuchtdichte, um Energie zu sparen ohne Kundensichtbarkeit zu beeinträchtigen.","Erstellen Sie einen Überwachungsbericht für den Vormittag, um potenzielle Einsparungen zu identifizieren.",0.85,qwen2.5:7b,7.27
12,Baumarkt_06,2024-10-18 08:00:00+02:00,arima,mittel,"Beleuchtung der Verkaufsfläche läuft auch nach dem Öffnungsbeginn, obwohl nur eine geringe Grundlast erwartet wird.",Überprüfen und reduzieren der Beleuchtungsprogramme zur Öffnungszeit,"Prüfung und eventuelle Anpassung der HVAC-Regelung, um unnötige Heizung zu vermeiden","Wartungstermin vereinbaren, um mögliche Defekte in der Steuerung zu prüfen",0.85,qwen2.5:7b,6.24
13,Baumarkt_06,2025-02-24 07:30:00+01:00,arima,hoch,"Heizung läuft trotz geringer Temperatur und Regenbedingungen übermäßig, vermutlich due zu hohem Raumvolumen oder Defekt in der Regelung.",Überprüfung und Anpassung der Heizungsregelung an die aktuelle Wetterlage,Prüfung des Raumvolumens und eventuell Anpassung der Heizleistung,"Wartungstermin vereinbaren, um Regelungssystem zu überprüfen",0.85,qwen2.5:7b,5.9
14,Baumarkt_06,2025-03-21 07:30:00+01:00,arima,hoch,"Heizung läuft stärker als nötig, da der Raum noch nicht genügend erwärmt ist, obwohl die Öffnungszeit naht.","Prüfen, ob die Temperaturregelung korrekt eingestellt ist und keine Überhitzung des Raumes verursacht.","Überprüfen, ob alle Heizungsanlagen optimiert sind und keine Leckage oder Wärmeverluste vorliegen.","Erwägen der Einstellung eines Mindesttemperatur-Schwellwerts, um unnötige Heizenergie zu sparen.",0.85,qwen2.5:7b,6.81
15,Baumarkt_06,2025-05-23 08:15:00+02:00,arima,niedrig,"Kühlanlagen im Gartencenter und Getränkebereich laufen möglicherweise länger als nötig, da die aktuelle Temperatur (9.7 °C) keine Kühlanforderung erfordert.",Überprüfen der Regelung der Kühlanlagen auf optimale Einstellungen für die aktuelle Temperatur,"Prüfung und eventuell Reduzierung der Laufzeit der Kühlgeräte, insbesondere nach dem Öffnungszeiten-Ende","Wartungstermin vereinbaren, um den Betriebsstatus der Kühlanlagen zu überprüfen",0.8,qwen2.5:7b,7.01
16,Baumarkt_06,2025-09-05 07:15:00+02:00,zscore_stl,hoch,Ungeplante Erweiterung der Öffnungszeiten mit intensiverer Aktivität (z.B. Frühaufklärung oder Auffrischung des Gartencenters) ohne entsprechende Absenkung der Last.,"Überprüfen, ob Frühaufklärungsaktivitäten stattfanden und die zugehörige Last dokumentiert wurde",Prüfung der HVAC-Steuerung auf unerwartete Aktivitäten oder manuelle Eingaben,"Erstellen eines Überwachungsprotokolls für frühe Öffnungszeiten, um potenzielle Defekte frühzeitig zu erkennen",0.85,qwen2.5:7b,7.2
17,Baumarkt_06,2025-09-05 07:30:00+02:00,zscore_stl,hoch,Ungeplante Erweiterung der Öffnungszeiten mit intensiverer Aktivität (z.B. Frühaufklärung oder Auffrischung des Gartencenters) ohne entsprechende Absenkung der Last.,"Überprüfen, ob Frühaufklärungsaktivitäten stattfanden und die zugehörige Last sichtbar gemacht wurde.",Prüfung der HVAC-Systeme auf unnötige Betriebszeiten oder Überhitzung des Gebäudes.,"Erstellen eines Protokolls für unerwartete Frühaufklärungsaktivitäten, um Kosten zu reduzieren.",0.85,qwen2.5:7b,7.06
18,Baumarkt_06,2025-11-07 07:30:00+01:00,arima,mittel,"Heizung läuft zu stark, da es keine Frostbedrohung gibt; eventuell falsche Temperaturregelung oder Überhitzung der Verkaufsfläche.","Prüfen und optimieren der Heizungs-Regelung, insbesondere die Nachtabsenkung.",Überprüfung der Beleuchtung: Möglicherweise ist eine Teilbeleuchtung nicht ausgeschaltet worden.,"Wartungstermin vereinbaren, um die Regelungen und Systeme zu überprüfen.",0.8,qwen2.5:7b,6.18
19,Baumarkt_06,2026-02-20 07:30:00+01:00,zscore_stl,hoch,"Heizung läuft stärker als nötig, da der Wetterbericht keine Bedingungen für eine Absenkung voraussagt.",Prüfung und Anpassung des Heizungsregelungssystems zur Reduzierung unnötiger Energieverbrauch bei geringem Außenklima,"Überprüfung der Lüftungssysteme, da sie möglicherweise unnötig aktiv sind, was zu zusätzlichen Kosten führt",Erhöhung der Mindesttemperatur in den Bereichen mit geringer Kundenaufkommen,0.85,qwen2.5:7b,6.79
